sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,stage,donor,assembly,supplementary_files_format_and_content,biosample,sra
a001c007,,,,,,,A001C007,GSM6325721,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325721,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325721/suppl/GSM6325721_A001C007-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119994,colon,AdeCa,A001,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635163,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119994
a001c011,,,,,,,A001C011,GSM6325722,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325722,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325722/suppl/GSM6325722_A001C011-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119995,colon,Polyp,A001,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635165,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119995
a001c013,,,,,,,A001C013,GSM6325724,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325724,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325724/suppl/GSM6325724_A001C013-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119996,colon,Polyp,A001,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635178,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119996
a001c019,,,,,,,A001C019,GSM6325725,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325725,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325725/suppl/GSM6325725_A001C019-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119997,colon,Polyp,A001,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635180,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119997
a002c001,,,,,,,A002C001,GSM6325727,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325727,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325727/suppl/GSM6325727_A002C001-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119998,colon,Polyp,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635182,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119998
a002c002,,,,,,,A002C002,GSM6325728,Public on Aug 27 2022,Jul 11 2022,Nov 28 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325728,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325728/suppl/GSM6325728_A002C002-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16119999,colon,Polyp,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635184,https://www.ncbi.nlm.nih.gov/sra?term=SRX16119999
a002c006,,,,,,,A002C006,GSM6325729,Public on Aug 27 2022,Jul 11 2022,Nov 28 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325729,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325729/suppl/GSM6325729_A002C006-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120000,colon,Polyp,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635186,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120000
a002c010,,,,,,,A002C010,GSM6325731,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325731,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325731/suppl/GSM6325731_A002C010-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120001,colon,Polyp,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635188,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120001
a002c013,,,,,,,A002C013,GSM6325732,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325732,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325732/suppl/GSM6325732_A002C013-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120002,colon,Polyp,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635189,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120002
a002c122,,,,,,,A002C122,GSM6325734,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325734,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325734/suppl/GSM6325734_A002C122-Normal_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120003,colon,Mucosa,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635190,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120003
