sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,isoloation_markers,cell_type,strain,developmental_stage,tissue,genotype,assembly,supplementary_files_format_and_content,biosample,sra
wt_pmn_atac_a,,,,,,,WT_PMN_ATAC_A,GSM6865815,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865815,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865815/suppl/GSM6865815_PMN_WT.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865815/suppl/GSM6865815_PMN_WT_specific_peaks_rpkmFC2.bed.gz,"GSE221422, GSE221427",0,SRX18787978,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331495,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787978
wt_pmn_atac_b,,,,,,,WT_PMN_ATAC_B,GSM6865816,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865816,NONE,,"GSE221422, GSE221427",0,SRX18787979,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331494,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787979
ko_pmn_atac_a,,,,,,,KO_PMN_ATAC_A,GSM6865817,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865817,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865817/suppl/GSM6865817_PMN_KO.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865817/suppl/GSM6865817_PMN_KO_specific_peaks_rpkmFC2.bed.gz,"GSE221422, GSE221427",0,SRX18787980,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331493,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787980
ko_pmn_atac_b,,,,,,,KO_PMN_ATAC_B,GSM6865818,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865818,NONE,,"GSE221422, GSE221427",0,SRX18787981,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331492,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787981
wt_gmp_atac_a,,,,,,,WT_GMP_ATAC_A,GSM6865819,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865819,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865819/suppl/GSM6865819_GMP_WT.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865819/suppl/GSM6865819_GMP_WT_specific_peaks_rpkmFC2.bed.gz,"GSE221422, GSE221427",0,SRX18787982,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331491,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787982
wt_gmp_atac_b,,,,,,,WT_GMP_ATAC_B,GSM6865820,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865820,NONE,,"GSE221422, GSE221427",0,SRX18787983,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331490,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787983
ko_gmp_atac_a,,,,,,,KO_GMP_ATAC_A,GSM6865821,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865821,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865821/suppl/GSM6865821_GMP_KO.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865821/suppl/GSM6865821_GMP_KO_specific_peaks_rpkmFC2.bed.gz,"GSE221422, GSE221427",0,SRX18787984,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331489,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787984
ko_gmp_atac_b,,,,,,,KO_GMP_ATAC_B,GSM6865822,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,genomic DNA,"50,000 cells were collected and washed with cold PBS. Cell pellets were resuspended in 50 µl of lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1% NP-40, 0.01% Digitonin, 1% BSA) and incubated on ice for 4 min. Lysis was halted with the addition of 50 uL of wash buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% Tween-20, 0.1%, 1% BSA). Samples were centrifuged at  500 x g, 4 °C for 5 min. Nuclei pellets were resuspended in 50 µl of wash buffer and  ...","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore v0.6.4 with the following settings: fastqc, paired, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackl ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6865822,NONE,,"GSE221422, GSE221427",0,SRX18787985,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  peaks with RPKM less than 0.5 in both Control and Runx1ΔGMP were filtered from downstream analysis. Control or Runx1ΔGMP specific peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2.,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331488,https://www.ncbi.nlm.nih.gov/sra?term=SRX18787985
wt_pmn_h3k27ac_in,,,,,,,WT_PMN_H3K27ac_IN,GSM6865827,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from the bone marrow. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IP and IN DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865827,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865827/suppl/GSM6865827_WT_Veh.IN.RPGC.bw,,"GSE221424, GSE221427",0,SRX18788396,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331530,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788396
wt_pmn_h3k27ac_ip1,,,,,,,WT_PMN_H3K27ac_IP1,GSM6865828,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from mouse fetuses. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IPed and Input DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865828,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865828/suppl/GSM6865828_H3K27ac_WT_specific_peaks_rpkmFC2.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865828/suppl/GSM6865828_WT_Veh.IP.RPGC.bw,"GSE221424, GSE221427",0,SRX18788397,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331529,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788397
